,Unnamed: 0,posicao,fortuna,idade,ipca_do_pais,variacao_do_ipca,pib_do_pais,expectativa_de_vida,receita_tributaria,taxa_de_imposto,pop_do_pais
0,0,1,211000,74,110.05,1.1,2715518274227,82.5,24.2,60.7,67059887
1,1,2,180000,51,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
2,2,3,114000,59,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
3,3,4,107000,78,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
4,4,5,106000,92,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
5,5,6,104000,67,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
6,6,7,94500,81,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
7,7,8,93000,83,141.54,3.6,1258286717125,75.0,13.1,55.1,126014024
8,8,9,83400,65,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754
9,9,10,80700,67,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
10,10,11,80500,69,110.05,1.1,2715518274227,82.5,24.2,60.7,67059887
11,11,12,79200,50,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
12,12,13,77300,87,110.96,0.7,1394116310769,83.3,14.2,47.0,47076781
13,13,14,76000,49,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
14,14,15,68000,68,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
15,15,16,64400,38,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
16,16,17,59000,87,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
17,17,17,59000,60,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
18,18,19,58800,74,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
19,19,20,57600,78,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
20,20,21,56700,73,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
21,21,22,54400,65,116.76,1.9,1736425629520,81.9,12.8,24.5,36991981
22,22,23,50100,58,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
23,23,24,47200,60,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754
24,24,25,45100,85,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
25,25,26,45000,39,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
26,26,27,42900,83,112.85,1.4,3845630030824,80.9,11.5,48.8,83132799
27,27,28,40100,86,110.05,1.1,2715518274227,82.5,24.2,60.7,67059887
28,28,29,39100,85,99.55,0.4,703082435360,83.6,10.1,28.8,8574832
29,29,30,38900,58,117.11,1.4,529606710418,81.6,24.0,55.4,11484055
30,30,31,38300,83,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
31,31,31,38300,87,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
32,33,34,35300,51,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
33,34,35,35000,77,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
34,35,35,35000,54,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
35,36,37,34700,30,118.06,1.5,446314739528,81.6,25.4,51.4,8877067
36,37,38,33400,54,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
37,38,39,32600,74,105.48,0.5,5081769542380,84.2,11.9,46.7,126226568
38,39,40,32100,65,119.62,1.7,2827113184696,81.3,25.5,30.6,66834405
39,40,41,31600,74,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
40,41,41,31600,72,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
41,42,43,31200,82,99.55,0.4,703082435360,83.6,10.1,28.8,8574832
42,43,43,31200,78,99.55,0.4,703082435360,83.6,10.1,28.8,8574832
43,44,45,30200,43,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
44,45,46,29700,87,112.85,1.4,3845630030824,80.9,11.5,48.8,83132799
45,47,48,28500,64,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
46,48,49,28100,84,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
47,49,50,27800,76,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
48,50,51,27400,60,112.85,1.4,3845630030824,80.9,11.5,48.8,83132799
49,51,52,27000,69,119.8,1.6,1392680589329,82.7,23.0,47.4,25766605
50,52,53,26700,51,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
51,53,54,26600,69,141.54,3.6,1258286717125,75.0,13.1,55.1,126014024
52,54,55,25600,77,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754
53,55,56,25500,74,151.18,3.0,1119190780753,71.5,10.2,30.1,270203917
54,56,57,25300,78,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
55,57,58,25200,51,114.52,-1.9,421142267938,77.8,0.1,15.9,9770529
56,58,59,24600,56,112.85,1.4,3845630030824,80.9,11.5,48.8,83132799
57,59,60,24400,52,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
58,60,61,24200,82,151.18,3.0,1119190780753,71.5,10.2,30.1,270203917
59,61,62,23700,62,180.75,4.5,1699876578871,72.7,11.4,46.2,144373535
60,62,63,23500,58,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
61,63,64,23400,80,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
62,64,65,23100,80,131.91,2.6,282318159745,80.0,18.2,34.0,18952038
63,65,65,23100,83,151.18,3.0,1119190780753,71.5,10.2,30.1,270203917
64,66,67,22900,70,119.62,1.7,2827113184696,81.3,25.5,30.6,66834405
65,67,68,22600,81,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754
66,68,69,22400,65,105.48,0.5,5081769542380,84.2,11.9,46.7,126226568
67,69,70,22100,66,180.75,4.5,1699876578871,72.7,11.4,46.2,144373535
68,70,71,22000,52,110.05,1.1,2715518274227,82.5,24.2,60.7,67059887
69,71,72,21600,61,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
70,72,72,21600,67,180.75,4.5,1699876578871,72.7,11.4,46.2,144373535
71,73,74,21200,36,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
72,74,74,21200,52,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
73,75,76,21100,60,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
74,76,77,21000,90,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
75,77,77,21000,77,105.48,0.5,5081769542380,84.2,11.9,46.7,126226568
76,78,79,20900,57,180.75,4.5,1699876578871,72.7,11.4,46.2,144373535
77,79,80,20500,72,180.75,4.5,1699876578871,72.7,11.4,46.2,144373535
78,80,81,20200,84,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
79,81,82,19600,61,119.8,1.6,1392680589329,82.7,23.0,47.4,25766605
80,82,83,19100,73,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
81,83,84,19000,59,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
82,84,84,19000,55,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
83,86,86,18900,57,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
84,87,88,18700,57,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
85,88,89,18500,77,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
86,89,89,18500,65,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
87,90,89,18500,70,180.75,4.5,1699876578871,72.7,11.4,46.2,144373535
88,91,92,18000,61,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
89,92,93,17700,72,119.62,1.7,2827113184696,81.3,25.5,30.6,66834405
90,93,94,17500,66,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
91,94,94,17500,87,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
92,95,94,17500,73,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754
93,96,97,17400,90,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
94,97,97,17400,83,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
95,98,99,17100,92,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
96,99,100,16700,70,99.55,0.4,703082435360,83.6,10.1,28.8,8574832
97,100,101,16500,72,112.85,1.4,3845630030824,80.9,11.5,48.8,83132799
98,101,101,16500,55,116.48,2.8,246489245495,79.0,14.9,46.1,10669709
99,102,103,16300,72,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
100,103,104,16200,75,110.51,1.8,530832908738,82.5,27.9,49.1,10285453
101,104,104,16200,67,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
