,posicao,fortuna,industria,nome_completo,idade,pais_de_residencia,fonte,genero,ipca_do_pais,variacao_do_ipca,pib_do_pais,expectativa_de_vida,receita_tributaria,taxa_de_imposto,pop_do_pais,continente
0,1,211000,Moda e varejo,Bernard Arnault & family,74,France,LVMH,Masc,110.05,1.1,2715518274227,82.5,24.2,60.7,67059887,Europe
1,2,180000,Automotivo,Elon Musk,51,United States,"Tesla, SpaceX",Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
2,3,114000,Tecnologia,Jeff Bezos,59,United States,Amazon,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
3,4,107000,Tecnologia,Larry Ellison,78,United States,Oracle,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
4,5,106000,Finanças e investimentos,Warren Buffett,92,United States,Berkshire Hathaway,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
5,6,104000,Tecnologia,Bill Gates,67,United States,Microsoft,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
6,7,94500,Mídia e entretenimento,Michael Bloomberg,81,United States,Bloomberg LP,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
7,8,93000,Telecomunicações,Carlos Slim Helu & family,83,Mexico,Telecomunicações,Masc,141.54,3.6,1258286717125,75.0,13.1,55.1,126014024,North America
8,9,83400,Diversificado,Mukesh Ambani,65,India,Diversificados,Masc,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754,Asia
9,10,80700,Tecnologia,Steve Ballmer,67,United States,Microsoft,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
10,11,80500,Moda e varejo,Francoise Bettencourt Meyers & family,69,France,L'Oréal,Fem,110.05,1.1,2715518274227,82.5,24.2,60.7,67059887,Europe
11,12,79200,Tecnologia,Larry Page,50,United States,Google,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
12,13,77300,Moda e varejo,Amancio Ortega,87,Spain,Zara,Masc,110.96,0.7,1394116310769,83.3,14.2,47.0,47076781,Europe
13,14,76000,Tecnologia,Sergey Brin,49,United States,Google,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
14,15,68000,Alimentos e bebidas,Zhong Shanshan,68,China,"Bebidas, produtos farmacêuticos",Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
15,16,64400,Tecnologia,Mark Zuckerberg,38,United States,Facebook,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
16,17,59000,Diversificado,Charles Koch & family,87,United States,Indústrias Koch,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
17,17,59000,Diversificado,Julia Koch & family,60,United States,Indústrias Koch,Fem,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
18,19,58800,Moda e varejo,Jim Walton,74,United States,Walmart,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
19,20,57600,Moda e varejo,Rob Walton & family,78,United States,Walmart,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
20,21,56700,Moda e varejo,Alice Walton,73,United States,Walmart,Fem,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
21,22,54400,Mídia e entretenimento,David Thomson & family,65,Canada,Mídia,Masc,116.76,1.9,1736425629520,81.9,12.8,24.5,36991981,North America
22,23,50100,Tecnologia,Michael Dell,58,United States,Dell Technologies,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
23,24,47200,Diversificado,Gautam Adani,60,India,"Infraestrutura, commodities",Masc,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754,Asia
24,25,45100,Moda e varejo,Phil Knight & family,85,United States,Nike,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
25,26,45000,Tecnologia,Zhang Yiming,39,China,TikTok,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
26,27,42900,Moda e varejo,Dieter Schwarz,83,Germany,Varejo,Masc,112.85,1.4,3845630030824,80.9,11.5,48.8,83132799,Europe
27,28,40100,Moda e varejo,François Pinault & family,86,France,Bens de luxo,Masc,110.05,1.1,2715518274227,82.5,24.2,60.7,67059887,Europe
28,29,39100,Logística,Klaus-Michael Kuehne,85,Switzerland,Transporte marítimo,Masc,99.55,0.4,703082435360,83.6,10.1,28.8,8574832,Europe
29,30,38900,Alimentos e bebidas,Giovanni Ferrero,58,Belgium,"Nutella, chocolates",Masc,117.11,1.4,529606710418,81.6,24.0,55.4,11484055,Europe
30,31,38300,Alimentos e bebidas,Jacqueline Mars,83,United States,"Doces, ração para animais de estimação",Fem,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
31,31,38300,Alimentos e bebidas,John Mars,87,United States,"Doces, ração para animais de estimação",Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
33,34,35300,Tecnologia,Ma Huateng,51,China,Mídia na Internet,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
34,35,35000,Jogos de azar e cassinos,Miriam Adelson & family,77,United States,Cassinos,Fem,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
35,35,35000,Finanças e investimentos,Ken Griffin,54,United States,Fundos de hedge,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
36,37,34700,Alimentos e bebidas,Mark Mateschitz,30,Austria,Red Bull,Masc,118.06,1.5,446314739528,81.6,25.4,51.4,8877067,Europe
37,38,33400,Automotivo,Robin Zeng,54,China,Baterias,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
38,39,32600,Moda e varejo,Tadashi Yanai & family,74,Japan,Varejo de moda,Masc,105.48,0.5,5081769542380,84.2,11.9,46.7,126226568,Asia
39,40,32100,Diversificado,Len Blavatnik,65,United Kingdom,"Música, produtos químicos",Masc,119.62,1.7,2827113184696,81.3,25.5,30.6,66834405,Europe
40,41,31600,Moda e varejo,Alain Wertheimer,74,United States,Chanel,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
41,41,31600,Moda e varejo,Gerard Wertheimer,72,United States,Chanel,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
