,posicao,fortuna,industria,nome_completo,idade,pais_de_residencia,city_of_residence,fonte,citizenship,genero,birth_date,last_name,first_name,residence_state,residence_region,birth_year,birth_month,birth_day,ipca_do_pais,variacao_do_ipca,pib_do_pais,g_tertiary_ed_enroll,g_primary_ed_enroll,expectativa_de_vida,receita_tributaria,taxa_de_imposto,pop_do_pais,country_lat,country_long,continente
0,1,211000,Moda e varejo,Bernard Arnault & family,74,France,Paris,LVMH,France,Masc,1949-03-05,Arnault,Bernard,No subdivisions info,No subdivisions info,1949,3,5,110.05,1.1,2715518274227,65.6,102.5,82.5,24.2,60.7,67059887,46.227638,2.213749,Europe
1,2,180000,Automotivo,Elon Musk,51,United States,Austin,"Tesla, SpaceX",United States,Masc,1971-06-28,Musk,Elon,Texas,South,1971,6,28,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
2,3,114000,Tecnologia,Jeff Bezos,59,United States,Medina,Amazon,United States,Masc,1964-01-12,Bezos,Jeff,Washington,West,1964,1,12,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
3,4,107000,Tecnologia,Larry Ellison,78,United States,Lanai,Oracle,United States,Masc,1944-08-17,Ellison,Larry,Hawaii,West,1944,8,17,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
4,5,106000,Finanças e investimentos,Warren Buffett,92,United States,Omaha,Berkshire Hathaway,United States,Masc,1930-08-30,Buffett,Warren,Nebraska,Midwest,1930,8,30,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
5,6,104000,Tecnologia,Bill Gates,67,United States,Medina,Microsoft,United States,Masc,1955-10-28,Gates,Bill,Washington,West,1955,10,28,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
6,7,94500,Mídia e entretenimento,Michael Bloomberg,81,United States,New York,Bloomberg LP,United States,Masc,1942-02-14,Bloomberg,Michael,New York,Northeast,1942,2,14,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
7,8,93000,Telecomunicações,Carlos Slim Helu & family,83,Mexico,Mexico City,Telecomunicações,Mexico,Masc,1940-01-28,Slim Helu,Carlos,No subdivisions info,No subdivisions info,1940,1,28,141.54,3.6,1258286717125,40.2,105.8,75.0,13.1,55.1,126014024,23.634501,-102.552784,North America
8,9,83400,Diversificado,Mukesh Ambani,65,India,Mumbai,Diversificados,India,Masc,1957-04-19,Ambani,Mukesh,No subdivisions info,No subdivisions info,1957,4,19,180.44,7.7,2611000000000,28.1,113.0,69.4,11.2,49.7,1366417754,20.593684,78.96288,Asia
9,10,80700,Tecnologia,Steve Ballmer,67,United States,Hunts Point,Microsoft,United States,Masc,1956-03-24,Ballmer,Steve,Washington,West,1956,3,24,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
10,11,80500,Moda e varejo,Francoise Bettencourt Meyers & family,69,France,Paris,L'Oréal,France,Fem,1953-07-10,Bettencourt Meyers,Francoise,No subdivisions info,No subdivisions info,1953,7,10,110.05,1.1,2715518274227,65.6,102.5,82.5,24.2,60.7,67059887,46.227638,2.213749,Europe
11,12,79200,Tecnologia,Larry Page,50,United States,Palo Alto,Google,United States,Masc,1973-03-26,Page,Larry,California,West,1973,3,26,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
12,13,77300,Moda e varejo,Amancio Ortega,87,Spain,La Coruna,Zara,Spain,Masc,1936-03-28,Ortega,Amancio,No subdivisions info,No subdivisions info,1936,3,28,110.96,0.7,1394116310769,88.9,102.7,83.3,14.2,47.0,47076781,40.463667,-3.74922,Europe
13,14,76000,Tecnologia,Sergey Brin,49,United States,Los Altos,Google,United States,Masc,1973-08-21,Brin,Sergey,California,West,1973,8,21,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
14,15,68000,Alimentos e bebidas,Zhong Shanshan,68,China,Hangzhou,"Bebidas, produtos farmacêuticos",China,Masc,1954-12-01,Zhong,Shanshan,No subdivisions info,No subdivisions info,1954,12,1,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
15,16,64400,Tecnologia,Mark Zuckerberg,38,United States,Palo Alto,Facebook,United States,Masc,1984-05-14,Zuckerberg,Mark,California,West,1984,5,14,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
