,Mês,Identificação,Nome do Produto,Un,Quantidade,Custo Unitário,Custo Total,Valor Unitário,Valor Total,Margem
0,Janeiro,1467,GOLA AD. 50%ALG/50%POLI - AZUL MARINHO,PC,854.0,0.87,742.98,2.33,1988.2,62.63
1,Janeiro,1476,GOLA AD. 50%ALG/50%POLI - AZUL MOTORISTA,PC,241.0,0.85,204.85,2.28,549.3,62.71
2,Janeiro,1002,GOLA AD. 50%ALG/50%POLI - AZUL ROYAL,PC,437.0,0.84,367.08,2.37,1035.3,64.54
3,Janeiro,1527,GOLA AD. 50%ALG/50%POLI - BEGE,PC,8.0,0.74,5.92,2.5,20.0,70.4
4,Janeiro,996,GOLA AD. 50%ALG/50%POLI - BRANCO,PC,379.0,0.8185,310.24,2.33,884.9,64.94
5,Janeiro,1528,GOLA AD. 50%ALG/50%POLI - CINZA CHUMBO,PC,122.0,0.85,103.7,2.46,299.7,65.4
6,Janeiro,1524,GOLA AD. 50%ALG/50%POLI - CINZA PRATA,PC,30.0,1.08,32.4,2.33,70.0,53.71
7,Janeiro,1001,GOLA AD. 50%ALG/50%POLI - GRAFITE,PC,101.0,1.12,113.12,2.3,232.3,51.3
8,Janeiro,1471,GOLA AD. 50%ALG/50%POLI - PRETO,PC,680.0,1.1403,775.43,2.34,1588.7,51.19
9,Janeiro,1525,GOLA AD. 50%ALG/50%POLI - VERDE AGUA,PC,3.0,0.72,2.16,2.5,7.5,71.2
10,Janeiro,1526,GOLA AD. 50%ALG/50%POLI - VERDE BANDEIRA,PC,141.0,0.86,121.26,2.42,341.3,64.47
11,Janeiro,1474,GOLA AD. 50%ALG/50%POLI - VERDE MUSGO,PC,396.0,0.89,352.44,2.34,926.3,61.95
12,Janeiro,1466,GOLA AD. 50%ALG/50%POLI - VERMELHO,PC,148.0,0.87,128.76,2.42,358.2,64.05
13,Janeiro,1603,GOLA AD. 50%ALG/50%POLI - VINHO,PC,111.0,0.92,102.12,2.31,256.6,60.2
14,Janeiro,1574,GOLA AD.65%POLI / 35%VISC - AM CANARIO,PC,94.0,0.88,82.72,2.43,228.7,63.83
15,Janeiro,1545,GOLA AD.65%POLI / 35%VISC - AZ MOTORISTA,PC,56.0,0.82,45.92,2.39,133.6,65.63
16,Janeiro,1559,GOLA AD.65%POLI / 35%VISC - AZUL BEBE,PC,60.0,0.84,50.4,2.35,141.0,64.26
17,Janeiro,1537,GOLA AD.65%POLI / 35%VISC - AZUL MARINHO,PC,631.0,0.9164,578.28,2.39,1509.8,61.7
18,Janeiro,1536,GOLA AD.65%POLI / 35%VISC - AZUL ROYAL,PC,466.0,0.9115,424.78,2.32,1081.9,60.74
19,Janeiro,1534,GOLA AD.65%POLI / 35%VISC - BRANCO,PC,139.0,0.84,116.76,2.39,332.1,64.84
20,Janeiro,1652,GOLA AD.65%POLI / 35%VISC - CAQUI,PC,45.0,0.83,37.35,2.4,108.0,65.42
21,Janeiro,1648,GOLA AD.65%POLI / 35%VISC - CINZA CHUMBO,PC,39.0,0.91,35.49,2.48,96.9,63.37
22,Janeiro,1576,GOLA AD.65%POLI / 35%VISC - CINZA PRATA,PC,97.0,0.86,83.42,2.38,230.7,63.84
23,Janeiro,1601,GOLA AD.65%POLI / 35%VISC - FERRARI,PC,359.0,0.93,333.87,2.33,837.5,60.13
24,Janeiro,1649,GOLA AD.65%POLI / 35%VISC - GRAFITE,PC,134.0,0.92,123.28,2.35,315.2,60.89
25,Janeiro,1584,GOLA AD.65%POLI / 35%VISC - JADE,PC,9.0,0.89,8.01,2.3,20.7,61.3
26,Janeiro,1651,GOLA AD.65%POLI / 35%VISC - LARANJA,PC,214.0,1.09,233.26,2.37,508.2,54.1
27,Janeiro,1553,GOLA AD.65%POLI / 35%VISC - MESCLA,PC,785.0,0.8133,638.5,2.19,1718.0,62.83
